Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
21,1.275000000000000000e+21,8.575000000000000000e+20,3.501252941176470301e+01,4.899898542274051749e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.892872918464080431e+04,2.377537404855595923e+03
22,1.966000000000000000e+21,1.639249999999999672e+21,3.501250000000000284e+01,4.934549794113160459e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.618973256107491034e+04,3.666069441526354240e+03
23,5.730000000000000524e+21,3.930000000000000000e+21,3.501250000000000284e+01,4.916514098137511724e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.107096368246787024e+05,1.068493280770397178e+04
24,7.380000000000000000e+21,5.287500000000000131e+21,3.501250000000000284e+01,4.927152718676123300e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.241575786144638696e+05,1.376174591987003805e+04
25,1.316999999999999738e+22,9.082500000000000393e+21,3.501250000000000284e+01,4.923329674538728540e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.639477165898970852e+05,2.455856284074368159e+04
26,2.459999999999999790e+22,1.517999999999999476e+22,3.501250000000000284e+01,4.932065607616098646e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.318457706178050430e+05,4.587248639956679108e+04
27,4.666666666666666387e+22,2.484166666666666204e+22,3.501249999999999574e+01,4.919702447175175308e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.468081751171299838e+05,8.702097690974730358e+04
28,1.606666666666666597e+23,1.210333333333333225e+23,3.501249999999999574e+01,4.926818179757261618e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.294280183667797828e+06,2.996007919321300578e+05
29,3.974285714285712638e+22,1.730314285714285108e+22,3.501249999999999574e+01,4.923614279046433495e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.763037331346110441e+05,7.410990543762766174e+04
30,2.125999999999999738e+21,5.946875000000000819e+20,3.501250000000000284e+01,4.949849786309393807e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.850776452450672514e+04,3.964427076645488796e+03
31,4.463571428571428291e+20,2.671035714285714145e+20,3.501292076397508879e+01,4.975531558642082075e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.287297546084511850e+04,8.323378847586898246e+02
32,1.628666666666666230e+20,1.369583333333332918e+21,2.334298350722781734e+01,4.928578621956194183e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.076714702873179340e+04,3.037032094150180797e+02
33,0.000000000000000000e+00,1.499499999999999607e+21,0.000000000000000000e+00,4.926645684538406300e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.145599075660397648e+04,0.000000000000000000e+00
34,5.490000000000000000e+19,4.625000000000000655e+20,3.501284153005464361e+01,4.920721081081080683e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.363581559404663858e+04,1.023739635502527392e+02
35,6.243333333333333606e+19,3.238333333333333770e+20,3.501269154339193790e+01,4.934362989582407266e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.259046743303422409e+04,1.164216355371119391e+02
36,2.888333333333333606e+19,2.254833333333333115e+20,2.334183960546081593e+01,4.908411553926753612e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.177652397861625650e+04,5.385976892306860009e+01
37,1.680000000000000000e+19,2.265374999999999836e+20,1.750636160714285694e+01,4.903975454962401415e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.176204546167360968e+04,3.132755168750903252e+01
38,5.045000000000000000e+19,2.777500000000000000e+20,3.501258718848908558e+01,4.859246166001877043e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.221605083857025602e+04,9.407589182350182000e+01
39,5.290000000000000000e+19,4.507500000000000000e+20,3.501285444234405020e+01,4.940691625069329262e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.354231760650854267e+04,9.864449311126355724e+01
40,0.000000000000000000e+00,8.145000000000000000e+20,0.000000000000000000e+00,4.935244014732965923e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.622267720657149039e+04,0.000000000000000000e+00
41,2.075000000000000000e+20,1.203750000000000066e+21,2.334362486113791135e+01,4.913810401730543731e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.958343063958032872e+04,3.869325580451264841e+02
42,4.830000000000000655e+20,1.527416666666666557e+21,3.501382193489813943e+01,4.953741106406116756e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.256993767774889420e+04,9.006671110158846432e+02
