Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
30,1.062999999999999843e+22,2.973437500000000541e+21,3.501250000000000284e+01,4.949849786309393807e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.025388226225336e+05,1.982213538322744353e+04
31,2.231785714285714080e+21,1.335517857142857007e+21,3.501292076397509589e+01,4.975531558642082786e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.743648773042256e+05,4.161689423793450260e+03
32,8.143333333333332460e+20,6.847916666666666164e+21,2.334298350722781734e+01,4.928578621956194894e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.138357351436590e+05,1.518516047075090455e+03
33,0.000000000000000000e+00,7.497499999999999607e+21,0.000000000000000000e+00,4.926645684538406300e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.172799537830199e+05,0.000000000000000000e+00
34,2.745000000000000000e+20,2.312500000000000393e+21,3.501284153005464361e+01,4.920721081081080683e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.781790779702332e+05,5.118698177512636676e+02
35,3.121666666666666885e+20,1.619166666666666885e+21,3.501269154339193790e+01,4.934362989582407266e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.729523371651711e+05,5.821081776855596672e+02
36,1.444166666666666721e+20,1.127416666666666689e+21,2.334183960546081948e+01,4.908411553926754323e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.688826198930813e+05,2.692988446153430004e+02
37,8.400000000000000000e+19,1.132687499999999951e+21,1.750636160714285694e+01,4.903975454962401415e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.688102273083681e+05,1.566377584375451590e+02
38,2.522500000000000000e+20,1.388750000000000066e+21,3.501258718848909268e+01,4.859246166001877043e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.710802541928513e+05,4.703794591175091000e+02
39,2.645000000000000000e+20,2.253749999999999803e+21,3.501285444234405020e+01,4.940691625069329973e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.777115880325427e+05,4.932224655563177862e+02
40,0.000000000000000000e+00,4.072499999999999869e+21,0.000000000000000000e+00,4.935244014732965923e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.911133860328574e+05,0.000000000000000000e+00
41,1.037500000000000131e+21,6.018749999999999803e+21,2.334362486113791135e+01,4.913810401730544442e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.079171531979016e+05,1.934662790225632307e+03
42,2.415000000000000262e+21,7.637083333333333574e+21,3.501382193489813943e+01,4.953741106406116756e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.228496883887445e+05,4.503335555079423102e+03
43,3.087500000000000131e+21,3.396249999999999934e+21,3.501285425101214344e+01,4.933793522267206555e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.917042913687266e+05,5.757369990189531563e+03
44,3.495000000000000000e+20,1.606875000000000033e+21,3.501250000000000284e+01,4.943212130998794862e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.729280471646272e+05,6.517249592133575788e+02
45,3.903714285714284950e+22,1.100142857142857105e+22,3.501249999999999574e+01,4.948723310478823834e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.168434610119247e+05,7.279393515415575530e+04
46,3.900000000000000713e+23,1.849859375000000051e+23,3.501250000000000284e+01,4.932281260704829151e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.600515952076192e+06,7.272467356028882787e+05
47,5.644999999999998689e+23,4.247812500000000180e+23,3.501250000000000284e+01,4.924918894871109387e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.757918172170736e+06,1.052643031404693145e+06
48,2.996666666666666114e+23,2.568749999999999866e+23,3.501250000000000284e+01,4.927250878207426155e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.981291568704061e+06,5.587989874418772524e+05
49,1.345000000000000157e+23,1.243250000000000092e+23,3.501250000000000284e+01,4.922789923538050516e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.660634196668430e+06,2.508068870220216922e+05
50,6.720000000000001678e+22,6.194374999999999954e+22,3.501249999999999574e+01,4.928397990734264056e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.058552639180438e+06,1.253102067500361591e+05
51,3.468749999999999489e+22,3.075624999999999312e+22,3.501251344086021788e+01,4.897529924675821178e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.596568713542284e+05,6.468300292621841072e+04
52,2.272500000000000079e+22,1.701249999999999987e+22,3.501256875687568737e+01,4.876385011021307747e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.323494608118141e+05,4.237610786301444750e+04
53,1.118499999999999764e+22,1.034249999999999934e+22,3.501260058113545881e+01,4.873661832245588954e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.598724581617420e+05,2.085706343004692826e+04
54,5.972499999999999869e+21,6.488750000000000328e+21,3.501262034323985262e+01,4.923675207089192440e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.207103621900713e+05,1.113713109843140955e+04
55,4.662500000000000918e+21,4.471250000000000197e+21,3.501262734584449277e+01,4.886187587363712481e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.028541136697734e+05,8.694327960893504496e+03
56,3.192499999999999869e+21,3.264999999999999738e+21,3.501262725137039666e+01,4.883366003062786831e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.908973551310921e+05,5.953167188236462607e+03
57,3.591250000000000721e+21,2.695000000000000262e+21,3.501262584659775001e+01,4.883413274862022035e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.872861902363348e+05,6.696730357009930231e+03
58,3.510000000000000000e+21,2.203124999999999967e+21,3.501260718900653757e+01,4.807438907049639454e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.833768175765068e+05,6.545220620425994639e+03
59,2.215000000000000262e+21,1.326375000000000164e+21,3.501352092726649090e+01,4.901667308933636491e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.742637261169095e+05,4.130388511180505702e+03
60,1.047562499999999984e+21,6.313750000000000328e+20,3.501777338569696241e+01,5.147307250309282267e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.667770520061116e+05,1.953426688371796445e+03
61,3.029842333333333606e+20,3.005180555555555246e+20,3.502324593973830247e+01,5.323059067934329391e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.628609053886122e+05,5.649853708482319234e+02
