# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:27 pshenoa RSP_D_only_nodrift_20MW_Dpuff=2.00e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
  6.64397E-01   9.36630E+17   3.35877E+01   9.50615E+01   1.08266E+05   6.80258E+04   4.02401E+04   6.53217E+04   2.70410E+03   6.39210E+04   4.10485E+03   6.19730E+04   3.34870E+03   5.25122E-02   5.67869E+00  -3.53226E+00   4.27602E+06   4.62589E+06   9.68374E+04   5.12224E+01   2.29416E+01
  7.26726E-01   6.20475E+17   3.09802E+01   9.90031E+01   8.13503E+04   3.76951E+04   4.36552E+04   3.59445E+04   1.75061E+03   3.48590E+04   2.83611E+03   3.35979E+04   2.34659E+03   5.84156E-02   5.71577E+00  -3.48226E+00   2.79642E+06   3.04311E+06   6.70132E+04   4.84298E+01   2.15947E+01
  7.85306E-01   4.23721E+17   2.84502E+01   1.01432E+02   7.29817E+04   2.60999E+04   4.68818E+04   2.58164E+04   2.83463E+02   2.43364E+04   1.76353E+03   2.41322E+04   1.68426E+03   6.42960E-02   5.75473E+00  -3.43858E+00   1.86133E+06   2.03542E+06   4.71168E+04   4.59326E+01   2.04162E+01
  8.39878E-01   3.05551E+17   2.59890E+01   1.00001E+02   7.47214E+04   2.50777E+04   4.96437E+04   2.43090E+04   7.68713E+02   2.36133E+04   1.46439E+03   2.30596E+04   1.24944E+03   7.01086E-02   5.79417E+00  -3.40092E+00   1.29020E+06   1.41660E+06   3.42390E+04   4.39696E+01   1.94041E+01
  8.88700E-01   2.21355E+17   2.38380E+01   1.01213E+02   7.12078E+04   1.81490E+04   5.30589E+04   1.64283E+04   1.72071E+03   1.66627E+04   1.48625E+03   1.54232E+04   1.00508E+03   7.58011E-02   5.83225E+00  -3.37047E+00   9.78210E+05   1.07779E+06   2.90260E+04   4.25053E+01   1.87665E+01
  9.32781E-01   1.65871E+17   2.19193E+01   1.01212E+02   6.15845E+04   8.44910E+03   5.31354E+04   7.74935E+03   6.99748E+02   7.51335E+03   9.35752E+02   7.00927E+03   7.40080E+02   8.13096E-02   5.86817E+00  -3.34492E+00   7.13901E+05   7.88965E+05   2.10357E+04   4.11492E+01   1.81456E+01
  9.71895E-01   1.31749E+17   2.01331E+01   9.76214E+01   6.00511E+04   3.42246E+03   5.66287E+04   3.33981E+03   8.26458E+01   2.74562E+03   6.76842E+02   2.68608E+03   6.53732E+02   8.65736E-02   5.90128E+00  -3.32425E+00   5.28950E+05   5.86161E+05   1.77669E+04   3.99006E+01   1.77633E+01
  1.00470E+00   1.05514E+17   1.85391E+01   9.54475E+01   6.80032E+04   1.03883E+04   5.76149E+04   1.03500E+04   3.83439E+01   9.83491E+03   5.53422E+02   9.80729E+03   5.42700E+02   9.15400E-02   5.93062E+00  -3.30961E+00   4.04910E+05   4.49847E+05   1.43611E+04   3.90300E+01   1.73325E+01
  1.03325E+00   8.72183E+16   1.70568E+01   9.02915E+01   7.10520E+04   1.34263E+04   5.76257E+04   8.94249E+03   4.48379E+03   1.17307E+04   1.69556E+03   8.50074E+03   4.41747E+02   9.61687E-02   5.95648E+00  -3.29751E+00   2.99952E+05   3.34028E+05   1.08181E+04   3.83313E+01   1.70986E+01
  1.05805E+00   7.21967E+16   1.56680E+01   8.35698E+01   6.48801E+04   7.24064E+03   5.76395E+04   7.09689E+03   1.43749E+02   6.84930E+03   3.91340E+02   6.74575E+03   3.51143E+02   1.00423E-01   5.97894E+00  -3.28700E+00   2.25449E+05   2.51614E+05   8.13611E+03   3.74880E+01   1.68631E+01
  1.07861E+00   5.25140E+16   1.44151E+01   7.59374E+01   6.04077E+04   2.08444E+03   5.83233E+04   9.40310E+02   1.14413E+03   1.51525E+03   5.69189E+02   6.91056E+02   2.49254E+02   1.04275E-01   5.99773E+00  -3.27867E+00   1.59950E+05   1.78890E+05   5.91400E+03   3.72099E+01   1.67956E+01
  1.09376E+00   3.05534E+16   1.32372E+01   6.79085E+01  -5.84721E+03  -8.25130E+03   2.40409E+03  -8.25976E+03   8.45911E+00  -8.40753E+03   1.56237E+02  -8.41363E+03   1.53871E+02   1.07707E-01   6.01200E+00  -3.27367E+00   8.85344E+04   9.92318E+04   3.67451E+03   3.66531E+01   1.66651E+01
