Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total             	 heat_ion
1.528225750000000000e+15	7.885507750000000000e+17	1.721778750000000120e+00	1.587578758888888822e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.287707500000000225e+02	0.000000000000000000e+00
2.721787500000000000e+15	2.572752200000000000e+17	2.221221700000000228e+00	2.528255000000000185e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.812252785528888772e+02	5.585288888888888822e-05
7.070227777777777250e+15	1.852882282222222550e+17	5.572515177777775885e+00	2.187888588888888757e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.887528015728222218e+02	1.785250588888888722e-02
2.505028000000000000e+17	5.712527200000000000e+17	5.127800888888888588e+00	2.722888750000000577e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.755725727008278871e+02	5.778800827888888777e-02
2.728078822222222200e+17	2.082272000000000000e+18	8.157880177777775255e+00	2.227517588888888752e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.252711277228582252e+02	1.270882007250000202e-01
2.827778077777777775e+18	5.278221522222222882e+18	1.258151522222222251e+01	2.827285777777778510e+01	7.000000000000000000e+01	5.500000000000000000e+01	7.080085587777778058e+02	2.857528211111111025e+01
1.220508858177777711e+20	5.502527817777777008e+18	2.588252517777777250e+01	1.808885888888888755e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.082827771777777078e+02	2.258505080000000158e+02
1.710808758888888858e+20	7.717527750000000205e+18	2.720522888888888557e+01	1.701787888888888777e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.772875250000000515e+02	2.717512525888888855e+02
1.552875778220778182e+20	1.227875078220778111e+20	2.850515152857152775e+01	1.820222857152857027e+01	7.000000000000000000e+01	5.500000000000000000e+01	7.258202107782208708e+02	2.781001207782208275e+02
2.528828800000000000e+20	2.858717888888888508e+20	2.885228200000000075e+01	1.757858200000000112e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.001078770000000111e+05	7.087857188888888727e+02
5.125757888888888255e+20	5.820771177777777158e+20	5.051852822222222877e+01	1.552585222222222288e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.822550882222222577e+05	1.225885800000000017e+05
1.085852825888888880e+21	8.228201258888888578e+20	5.118128888888888828e+01	1.288285500000000178e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.575157785888888758e+05	2.052875588888888885e+05
1.825882250000000025e+21	1.227055058888888882e+21	5.257258888888888881e+01	1.250112758888888805e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.882821258888888518e+05	5.180705000000000087e+05
2.152872500000000255e+21	1.718882588888888851e+21	5.512755500000000012e+01	1.177755888888888858e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.087871025888888875e+05	1.052771788888888820e+05
5.585502588888888228e+21	2.750108000000000228e+21	5.887258888888888252e+01	1.178287588888888887e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.071578585000000021e+05	2.055277500000000222e+05
1.052205222222222582e+22	5.527251777777777852e+21	5.828857777777777828e+01	1.122002888888888812e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.515585158888888780e+05	5.718775777777777172e+05
2.818827000000000775e+22	1.528811700000000170e+22	5.278281777777777228e+01	8.205052222222225122e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.258772882222222172e+07	1.522550188888888852e+07
1.105727277777777787e+22	5.882807222222222757e+22	5.222727777777777555e+00	5.205125888888888825e+00	7.000000000000000000e+01	5.500000000000000000e+01	8.582820127777777858e+05	1.002125177777777728e+07
8.288181222222222257e+21	1.722820777777777885e+22	1.775887777777777787e+00	2.251515222222222585e+00	7.000000000000000000e+01	5.500000000000000000e+01	5.528552500000000782e+05	2.715722000000000220e+05
7.128710858888888785e+18	1.125782728571528775e+22	2.757701828571528720e+00	2.177250500000000188e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.285101501857152758e+05	2.507778785715285752e+02
2.877251712500000750e+17	2.257827758888888782e+22	2.527787000000000150e+00	2.852582500000000275e+00	7.000000000000000000e+01	5.500000000000000000e+01	5.287028522250000755e+05	2.205222588888888850e+00
1.255212182222222250e+15	8.580572777777778722e+21	2.550585111111110721e+00	2.107127777777777888e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.201717500000000077e+05	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.275287858888888785e+18	2.125872588888888787e+21	1.875728258888888887e+00	2.271750750000000075e+00	7.000000000000000000e+01	5.500000000000000000e+01	7.220271770758888828e+02	1.051258107588888827e+02
2.111858000000000000e+18	1.158878000000000077e+21	2.182875000000000157e+00	2.557725000000000082e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.102787525000000077e+02	5.750525888888888578e+00
1.015082500000000000e+18	7.772172588888888755e+20	2.222072888888888752e+00	2.528585500000000022e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.272570125888888872e+02	2.752525000000000225e+00
5.525728777777777008e+18	8.821882000000000818e+20	2.185725222222222557e+00	2.585570777777777705e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.882700005222222557e+02	1.828717200000000118e+01
8.727877000000000000e+17	1.710285000000000022e+21	2.015857000000000010e+00	2.255022000000000075e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.587805871000000075e+02	1.222871000000000087e+00
1.585728722222222707e+18	2.577528222222222255e+21	1.758212888888888855e+00	2.151778777777777852e+00	7.000000000000000000e+01	5.500000000000000000e+01	7.520858227777777825e+02	5.557275888888888872e+01
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.018202770000000000e+15	7.578578177777777175e+21	2.878888177777777825e+00	2.288575588888888880e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.228852217777777728e+05	0.000000000000000000e+00
2.025801250000000000e+17	1.258578817777777557e+22	2.771887222222222515e+00	2.522772222222222551e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.522825282882222701e+05	1.118585588888888877e+00
1.502258101250000077e+18	2.527828758888888822e+22	2.552225888888888728e+00	2.552002725888888881e+00	7.000000000000000000e+01	5.500000000000000000e+01	5.275285088275000088e+05	7.728088275000000258e+01
5.055077000000000000e+18	2.508500000000000288e+22	1.881778250000000158e+00	2.270272500000000055e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.821077558888888587e+05	2.588820888888888825e+02
5.270887500000000082e+20	2.057550500000000102e+22	1.555725000000000157e+00	2.178778000000000028e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.282211588888888552e+05	1.722520888888888858e+02
1.050258288888888882e+22	1.858852777777777575e+22	1.587272777777777517e+00	2.125505888888888888e+00	7.000000000000000000e+01	5.500000000000000000e+01	5.857718588888888525e+05	2.822775522222222727e+05
1.210780525888888827e+22	7.882858500000000228e+22	7.217288250000000722e+00	5.582081588888888772e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.288807577588888805e+07	1.555170200000000057e+07
2.220752777777777752e+22	1.127228588888888882e+22	2.175575888888888777e+01	8.755870222222225078e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.078528728888888888e+07	1.118715788888888852e+07
1.127802858888888828e+22	5.120715000000000175e+21	2.071258758888888725e+01	8.258870250000002078e+00	7.000000000000000000e+01	5.500000000000000000e+01	2.250725207500000251e+05	2.227877000000000117e+05
5.255557000000000228e+21	1.858585777777777558e+21	2.727781000000000210e+01	8.700117777777777277e+00	7.000000000000000000e+01	5.500000000000000000e+01	1.077520002222222552e+05	1.070888777777777551e+05
2.251785000000000175e+21	1.087728050000000057e+21	2.517555888888888887e+01	8.572107588888888751e+00	7.000000000000000000e+01	5.500000000000000000e+01	5.558887008888888770e+05	5.275575500000000507e+05
1.258508000000000088e+21	7.158225588888888088e+20	2.525257000000000072e+01	1.027822750000000027e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.880800085000000157e+05	2.751085000000000222e+05
7.552782000000000175e+20	5.822810000000000228e+20	2.527155000000000128e+01	1.022272000000000017e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.872227870000000171e+05	1.552282000000000007e+05
5.588858777777777885e+20	2.827858000000000000e+20	2.527820888888888870e+01	1.058277777777777720e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.070177700000000005e+05	7.775508888888888751e+02
2.220507588888888755e+20	2.188778285125888805e+20	2.522785500000000157e+01	1.108522275000000151e+01	7.000000000000000000e+01	5.500000000000000000e+01	7.087122707250000182e+02	2.822882725888888702e+02
1.277872817777777517e+20	1.722882517777777588e+20	2.508782222222222787e+01	1.282711750000000117e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.225785585822222802e+02	2.720058777777777022e+02
1.072882208080808152e+20	1.088811827272727511e+20	2.577578272727272525e+01	1.722850272727272781e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.212202727272727552e+02	1.822772181818181788e+02
8.725288777777777285e+18	7.580225888888888181e+18	2.225187222222222181e+01	2.072812777777777777e+01	7.000000000000000000e+01	5.500000000000000000e+01	5.052520522222222087e+02	1.525278888888888872e+02
8.507278777777777212e+18	5.828200888888888181e+18	2.122202777777777282e+01	1.878818222222222588e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.178052077777777515e+02	1.225515222222222275e+02
5.021087222222222707e+18	2.218778777777777802e+18	1.718827000000000121e+01	2.585782777777777805e+01	7.000000000000000000e+01	5.500000000000000000e+01	2.780258777777777055e+02	5.275120222222222178e+02
5.578555725888888588e+18	1.828822250000000000e+18	8.728225000000000057e+00	5.251521758888888577e+01	7.000000000000000000e+01	5.500000000000000000e+01	1.221075801758888880e+02	5.075702825000000071e+01
2.851257800000000000e+17	8.005187222222222882e+18	2.822727222222222558e+00	2.282287777777777255e+01	7.000000000000000000e+01	5.500000000000000000e+01	7.757727577777777888e+02	0.000000000000000000e+00
