Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
15,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
16,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
17,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
18,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
19,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
20,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
21,1.000000000000000000e+18,7.000000000000000000e+18,5.000000000000000000e+01,2.000000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
24,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
25,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
26,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
27,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
