Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
1.800000000000000000e+01,1.230508858177777711e+20,5.502527817777777008e+18,2.588253517777777250e+01,1.808885888888888755e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.082837771777777078e+03,2.258505080000000158e+03
1.900000000000000000e+01,1.710808758888888858e+20,7.717527750000000205e+18,3.730522888888888557e+01,1.701787888888888777e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.772875250000000515e+03,3.717513525888888855e+03
2.000000000000000000e+01,1.553875778230778183e+20,1.227875078230778111e+20,3.850515153857153775e+01,1.820223857153857027e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.258302107782308708e+03,3.781001307782308275e+03
2.100000000000000000e+01,2.538828800000000000e+20,2.858717888888888508e+20,3.885328300000000075e+01,1.757858300000000113e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.001078770000000111e+05,7.087857188888888727e+03
2.200000000000000000e+01,5.135757888888888355e+20,5.830771177777777158e+20,5.051853833333332877e+01,1.553585333333333388e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.822550883333333577e+05,1.335885800000000017e+05
2.300000000000000000e+01,1.085853825888888880e+21,8.338201258888888578e+20,5.118138888888888838e+01,1.288385500000000178e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.575157785888888758e+05,3.052875588888888885e+05
2.400000000000000000e+01,1.825882250000000025e+21,1.227055058888888882e+21,5.257258888888888881e+01,1.250113758888888805e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.883821258888888518e+05,5.180705000000000087e+05
2.500000000000000000e+01,3.153873500000000355e+21,1.718883588888888851e+21,5.512755500000000013e+01,1.177755888888888858e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.087871035888888875e+05,1.053771788888888830e+05
2.600000000000000000e+01,5.585502588888888328e+21,2.750108000000000228e+21,5.887258888888888352e+01,1.178387588888888887e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.071578585000000021e+05,2.055377500000000233e+05
2.700000000000000000e+01,1.053305333333333583e+22,5.537251777777777852e+21,5.838857777777777838e+01,1.122003888888888813e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.515585158888888780e+05,5.718775777777777172e+05
2.800000000000000000e+01,3.818837000000000775e+22,1.538811700000000170e+22,5.378381777777777228e+01,8.205053333333335132e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.358772883333333173e+07,1.523550188888888853e+07
2.900000000000000000e+01,1.105727377777777787e+23,5.882807333333332757e+22,5.232727777777777555e+00,5.305135888888888835e+00,7.000000000000000000e+01,5.500000000000000000e+01,8.583830137777777858e+05,1.003125177777777728e+07
3.000000000000000000e+01,8.388181333333333257e+21,1.732830777777777885e+22,1.775887777777777787e+00,2.351515333333333585e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.538553500000000783e+05,3.715723000000000320e+05
3.100000000000000000e+01,7.138710858888888785e+18,1.135783728571528775e+22,2.757701828571528720e+00,2.177350500000000188e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.385101501857152758e+05,3.507778785715285752e+02
3.200000000000000000e+01,3.877251712500000750e+17,2.257827758888888782e+22,3.527787000000000150e+00,2.852583500000000375e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.387038522250000755e+05,3.305222588888888850e+00
3.300000000000000000e+01,1.355213182222222250e+15,8.580573777777778722e+21,3.550585111111110721e+00,3.107137777777777888e+00,7.000000000000000000e+01,5.500000000000000000e+01,2.301717500000000077e+05,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,3.275287858888888785e+18,3.135872588888888787e+21,1.875728258888888887e+00,2.371750750000000075e+00,7.000000000000000000e+01,5.500000000000000000e+01,7.230371770758888828e+03,1.051358107588888837e+02
3.600000000000000000e+01,2.111858000000000000e+18,1.158878000000000077e+21,2.182875000000000157e+00,2.557735000000000082e+00,7.000000000000000000e+01,5.500000000000000000e+01,2.102787525000000077e+03,5.750525888888888578e+00
3.700000000000000000e+01,1.015082500000000000e+18,7.772173588888888755e+20,2.232072888888888752e+00,2.538585500000000033e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.272570125888888872e+03,2.753525000000000225e+00
3.800000000000000000e+01,5.525728777777777008e+18,8.821883000000000818e+20,2.185735333333333557e+00,2.585570777777777705e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.883700005333333557e+03,1.838717200000000118e+01
3.900000000000000000e+01,8.727877000000000000e+17,1.710385000000000033e+21,2.015857000000000010e+00,2.255033000000000075e+00,7.000000000000000000e+01,5.500000000000000000e+01,3.587805871000000075e+03,1.233871000000000087e+00
4.000000000000000000e+01,1.585728733333333707e+18,3.577538333333333355e+21,1.758213888888888855e+00,2.151778777777777853e+00,7.000000000000000000e+01,5.500000000000000000e+01,7.520858327777777835e+03,5.557275888888888873e+01
4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000000e+01,1.018203770000000000e+15,7.578578177777777175e+21,2.878888177777777835e+00,2.388575588888888880e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.228852317777777738e+05,0.000000000000000000e+00
4.300000000000000000e+01,3.035801350000000000e+17,1.258578817777777557e+22,2.771887333333333515e+00,2.523772333333333551e+00,7.000000000000000000e+01,5.500000000000000000e+01,2.532825382883333701e+05,1.118585588888888877e+00
4.400000000000000000e+01,1.502258101250000077e+18,2.527838758888888823e+22,2.553335888888888738e+00,2.552002725888888881e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.275285088375000088e+05,7.738088375000000358e+01
4.500000000000000000e+01,5.055077000000000000e+18,2.508500000000000288e+22,1.881778250000000158e+00,2.270273500000000055e+00,7.000000000000000000e+01,5.500000000000000000e+01,3.821077558888888587e+05,2.588820888888888835e+02
4.600000000000000000e+01,5.270887500000000082e+20,2.057550500000000102e+22,1.555725000000000157e+00,2.178778000000000028e+00,7.000000000000000000e+01,5.500000000000000000e+01,3.282211588888888553e+05,1.732520888888888858e+03
4.700000000000000000e+01,1.050258388888888882e+22,1.858853777777777575e+22,1.587273777777777517e+00,2.135505888888888888e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.857718588888888525e+05,3.833775533333333727e+05
4.800000000000000000e+01,1.310780525888888827e+23,7.883858500000000338e+22,7.317388250000000722e+00,5.582081588888888772e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.388807577588888805e+07,1.555170300000000057e+07
4.900000000000000000e+01,3.320753777777777753e+22,1.137338588888888883e+22,3.175575888888888777e+01,8.755870333333335078e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.078538728888888888e+07,1.118715788888888853e+07
5.000000000000000000e+01,1.127802858888888838e+22,5.130715000000000175e+21,3.071358758888888735e+01,8.258870250000002078e+00,7.000000000000000000e+01,5.500000000000000000e+01,3.250725207500000251e+05,3.327877000000000117e+05
5.100000000000000000e+01,5.355557000000000328e+21,1.858585777777777558e+21,2.727781000000000210e+01,8.700117777777777277e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.077520003333333553e+05,1.070888777777777551e+05
5.200000000000000000e+01,2.351785000000000175e+21,1.087728050000000057e+21,2.517555888888888887e+01,8.573107588888888751e+00,7.000000000000000000e+01,5.500000000000000000e+01,5.558887008888888770e+05,5.275575500000000507e+05
5.300000000000000000e+01,1.258508000000000088e+21,7.158225588888888088e+20,2.525257000000000072e+01,1.027832750000000037e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.880800085000000157e+05,2.751085000000000233e+05
